token,entity
glyoxal,pharmacologic_substance
hindlimb,body_part_organ_or_organ_component
glioma,disease
astrocytomas,disease
gliomas,neoplastic_process
cortisone,pharmacologic_substance
tartrate,drug
tetanus,disease
diethylstilbestrol,pharmacologic_substance
tubulozole,pharmacologic_substance
ly186641,pharmacologic_substance
arsenate,drug
metoprolol,pharmacologic_substance
toenails,body_part_organ_or_organ_component
lymphangiomas,disease
meningiomas,disease
21-acetylaminoprogesterone,pharmacologic_substance
fagaronine,pharmacologic_substance
mj-iii-65,pharmacologic_substance
17dmag,drug
colesevelam,pharmacologic_substance
olopatadine,pharmacologic_substance
tarceva,drug
almotriptan,drug
dextromethorphan,drug
whi-p131,pharmacologic_substance
clodronate,drug
ru38486,drug
osteopenia,disease
meaalphac,drug
photosensitizers,pharmacologic_substance
heparin-sepharose,pharmacologic_substance
feather,body_part_organ_or_organ_component
dementias,disease
butaprost,drug
periodontium,anatomy
acetosyringone,pharmacologic_substance
ropivacaine,drug
terbinafine,drug
quetiapine,drug
zoloft,drug
cistinexine,drug
kinetin,pharmacologic_substance
nvp-hsp990,drug
hexadecylpyridinium,drug
titania,drug
amg900,drug
flumatinib,pharmacologic_substance
octaarginine,drug
iota-carrageenan,drug
diminazene,pharmacologic_substance
chiglitazar,drug
endoreplication,cell_or_molecular_dysfunction
diphenylamine,pharmacologic_substance
ns-398,drug
dydrogesterone,pharmacologic_substance
a-1155463,drug
hedp,drug
exjade,pharmacologic_substance
piceid,drug
tixocortol,pharmacologic_substance
yervoy,pharmacologic_substance
nsc663284,pharmacologic_substance
oprozomib,drug
legionellosis,disease
meta-phenylenediamine,drug
diarrheas,disease
cep-33779,pharmacologic_substance
carbicarb,drug
leucocythemia,disease
dsb-120,pharmacologic_substance
colestimide,pharmacologic_substance
virosomes,drug
isoxicam,drug
ahpn,drug
n-pentylamine,pharmacologic_substance
ass234,pharmacologic_substance
evofosfamide,drug
cb-te1a1p,pharmacologic_substance
hemostatics,drug
madecassoside,pharmacologic_substance
angiodysplasia,disease_or_syndrome
1-beta-d-arabinosyl-5-azacytosine,pharmacologic_substance
ganglia,anatomy
bh-ac,drug
lip,anatomy
reticulum,body_part_organ_or_organ_component
acetone,drug
varicella,disease
cv3988,drug
tut-7,drug
anthracenediones,drug
2-amino-3-phosphonopropionate,drug
kynurenate,drug
dichloromethane,drug
ephedrine,drug
pouchitis,disease
glatiramer,pharmacologic_substance
zintevir,pharmacologic_substance
acetazolamide,drug
treprostinil,drug
pralmorelin,pharmacologic_substance
lentigines,disease
sting,disease
smallpox,disease
nephrolithiasis,disease
fendiline,pharmacologic_substance
ebixa,drug
desmopressin,pharmacologic_substance
timp-3,drug
i-bet151,pharmacologic_substance
qiliqiangxin,pharmacologic_substance
apathy,disease
sb-431542,drug
adiporon,pharmacologic_substance
spondylarthritis,disease_or_syndrome
galangin,pharmacologic_substance
trichome,anatomy
pyrazinamide,drug
ddb,drug
l86-8275,drug
fpl-55712,pharmacologic_substance
lidex,pharmacologic_substance
ublituximab,pharmacologic_substance
unc569,drug
pizotifen,pharmacologic_substance
cgp52421,pharmacologic_substance
enmenol,pharmacologic_substance
piperonal,drug
adi-peg20,pharmacologic_substance
erythermalgia,disease
epineurium,anatomy
ro5-4864,pharmacologic_substance
cryofibrinogenemia,disease_or_syndrome
aesculetin,drug
tibolone,pharmacologic_substance
ag1296,pharmacologic_substance
baroreceptors,body_part_organ_or_organ_component
olprinone,drug
dinaline,pharmacologic_substance
sc560,pharmacologic_substance
trichinellosis,disease
thioglycerol,drug
periarthritis,disease_or_syndrome
aspaminol,pharmacologic_substance
roemerine,pharmacologic_substance
viremias,disease_or_syndrome
gcs-100,pharmacologic_substance
sarcoglycanopathy,disease
metoprine,drug
diastematomyelia,anatomy
heart,body_part_organ_or_organ_component
imidazole,drug
nifedipine,drug
encephalopathy,disease
cronolone,pharmacologic_substance
antiestrogen,pharmacologic_substance
horn,anatomy
rupture,disease
harringtonine,drug
vp-16,pharmacologic_substance
phenylalanine,pharmacologic_substance
2-propylamine,pharmacologic_substance
phenylketoisophosphamide,pharmacologic_substance
telencephalon,body_part_organ_or_organ_component
beta-funaltrexamine,pharmacologic_substance
trypanosomiasis,disease_or_syndrome
phencyclidine,drug
jaws,anatomy
leiomyosarcoma,disease
candidemia,disease
amlodipine,pharmacologic_substance
tizanidine,pharmacologic_substance
atomoxetine,drug
rupatadine,pharmacologic_substance
trabectedin,pharmacologic_substance
clodronate,pharmacologic_substance
adrenomyeloneuropathy,disease
thenoyltrifluoroacetone,pharmacologic_substance
trinitrophenol,pharmacologic_substance
bromoethane,pharmacologic_substance
pyrite,drug
vindolinine,pharmacologic_substance
pyridostigmine,pharmacologic_substance
tromethamine,pharmacologic_substance
keratoconus,disease
cx614,pharmacologic_substance
ukrain,pharmacologic_substance
cadasil,disease
butorphanol,pharmacologic_substance
eprosartan,pharmacologic_substance
pranlukast,pharmacologic_substance
fostamatinib,pharmacologic_substance
tolnaftate,pharmacologic_substance
gsk-j4,drug
pd0325901,drug
mk2206,drug
ctn,drug
sulfones,drug
norbuprenorphine,drug
diosmetin,pharmacologic_substance
priorix,drug
a-12,pharmacologic_substance
phytosterol,pharmacologic_substance
tepp,pharmacologic_substance
zeaxanthin,pharmacologic_substance
verucopeptin,pharmacologic_substance
silicosis,disease_or_syndrome
bc105,drug
y-25130,drug
azoxystrobin,pharmacologic_substance
2-pyrone,drug
fenspiride,drug
benztropine,drug
3-nitrofluoranthene,drug
cep-1347,drug
toltrazuril,pharmacologic_substance
nilvadipine,pharmacologic_substance
calypso,pharmacologic_substance
cetraxate,pharmacologic_substance
ski306x,pharmacologic_substance
lantus,pharmacologic_substance
blepharospasm,disease_or_syndrome
ferrocyanide,drug
somavert,pharmacologic_substance
aiu,drug
regadenoson,pharmacologic_substance
tasigna,pharmacologic_substance
miltex,drug
kar-2,pharmacologic_substance
cgp-35348,drug
pimobendan,drug
terameprocol,pharmacologic_substance
uvaol,pharmacologic_substance
clinoleic,drug
4-hydroxy-tamoxifen,drug
arcaine,drug
1-phenylbiguanide,pharmacologic_substance
labyrinthitis,disease
sst0001,pharmacologic_substance
myelopathies,disease
ono-4641,drug
1-methoxy-3-indolylmethylglucosinolate,pharmacologic_substance
extremities,anatomy
camptothecin,pharmacologic_substance
dihydro-5-azacytidine,drug
pyridoxine,pharmacologic_substance
adriblastine,pharmacologic_substance
pericardium,anatomy
hypercalcemia,disease_or_syndrome
amphetamine,pharmacologic_substance
phenethylamines,drug
papilloma,disease
soma,drug
phenylbutazone,pharmacologic_substance
mertansine,pharmacologic_substance
kt-1,drug
mb06866,drug
fk-506,pharmacologic_substance
pyridoxal,pharmacologic_substance
desferal,pharmacologic_substance
5-thioglucose,drug
trisenox,pharmacologic_substance
flunisolide,pharmacologic_substance
panniculitis,disease
toyocamycin,pharmacologic_substance
l-165041,pharmacologic_substance
dizocilpine,drug
abt-199,pharmacologic_substance
laryngospasm,disease
alfaxalone,drug
glycyrrhizin,drug
thiazolidinedione,pharmacologic_substance
dabigatran,pharmacologic_substance
4-methylpyrazole,drug
celgosivir,drug
atovaquone,pharmacologic_substance
blinatumomab,pharmacologic_substance
hexadecylphosphocholine,drug
fibroids,neoplastic_process
borax,pharmacologic_substance
tendinopathy,disease
hypotaurine,drug
triethanolamine,drug
dysbacteriosis,disease
cerebrosides,drug
tyr-val-ala-asp-aldehyde,drug
ischium,anatomy
polybrene,drug
hinokitiol,pharmacologic_substance
methylenedioxymethamphetamine,drug
i-102,drug
fccp,drug
xylocaine,drug
fosphenytoin,drug
fosphenytoin,pharmacologic_substance
hs-173,pharmacologic_substance
tetrachloronitrobenzene,drug
aiu,pharmacologic_substance
bpam344,drug
2-methylbenzenesulfonamide,pharmacologic_substance
ankylosis,disease
saiboku-to,pharmacologic_substance
collodion,drug
vx-680,pharmacologic_substance
tykerb,drug
anticholinesterases,pharmacologic_substance
hypersomnolence,disease
ys-51,pharmacologic_substance
samarcandin,pharmacologic_substance
cu-atsm,pharmacologic_substance
allegra,pharmacologic_substance
kb004,pharmacologic_substance
ellipticines,drug
rubidazone,drug
catergen,drug
diclegis,drug
gw870086x,pharmacologic_substance
sb743921,pharmacologic_substance
4-bromoacetophenone,drug
plasminogen,drug
spirogermanium,drug
chlorambucil,drug
benziodarone,pharmacologic_substance
2-methoxyestrone,pharmacologic_substance
hyalohyphomycosis,disease_or_syndrome
pyoderma,disease
arc,disease
esthesioneuroblastoma,disease
daunomycinol,drug
pa-457,pharmacologic_substance
precirol,drug
lenalidomide,drug
valopicitabine,pharmacologic_substance
hla-a11,drug
nvp-aew541,drug
combretastatin,drug
angiosarcoma,disease
psychosis,disease
tocopherols,pharmacologic_substance
orientin,drug
h89,pharmacologic_substance
piritrexim,pharmacologic_substance
pyrilamine,drug
pembrolizumab,drug
emactuzumab,drug
sonata,drug
ripasudil,drug
d-amphetamine,drug
cryptosporidiosis,disease_or_syndrome
vemurafenib,pharmacologic_substance
iralukast,drug
colistimethate,drug
roxarsone,pharmacologic_substance
self-injury,disease
tetrathiafulvalene,pharmacologic_substance
nociceptor,anatomy
sacubitril,drug
kanglaite,pharmacologic_substance
glaucarubin,pharmacologic_substance
oophoritis,disease_or_syndrome
kerosene,pharmacologic_substance
sb-431542,pharmacologic_substance
laminarin,drug
vigabatrin,pharmacologic_substance
dideoxyinosine,drug
cromoglycate,pharmacologic_substance
4-phenylbutyrate,drug
pd0332991,drug
nephrocalcinosis,disease_or_syndrome
dipentene,drug
isoproturon,pharmacologic_substance
kernicterus,disease_or_syndrome
californium,drug
odanacatib,pharmacologic_substance
forteo,drug
thidiazuron,pharmacologic_substance
pulvinar,anatomy
2-ketoglutarate,pharmacologic_substance
anthramycin,drug
eapb0503,pharmacologic_substance
butein,pharmacologic_substance
snoring,disease
chlamydocin,drug
mk0431,pharmacologic_substance
clocinnamox,drug
edivoxetine,drug
carcinomas,disease
malignancies,disease
azacytidine,drug
6-thioguanine,drug
theophylline,pharmacologic_substance
hy-770,pharmacologic_substance
testes,body_part_organ_or_organ_component
meninges,anatomy
glycosidases,pharmacologic_substance
mecamylamine,pharmacologic_substance
17-hydroxyprogesterone,pharmacologic_substance
damgo,pharmacologic_substance
pgf2,pharmacologic_substance
fistula,anatomy
ddmp,pharmacologic_substance
glutethimide,pharmacologic_substance
schistosomiasis,disease_or_syndrome
dihydropyridines,drug
taxane,drug
nimodipine,drug
osteopoikilosis,disease_or_syndrome
bms-378806,pharmacologic_substance
impetigo,disease
gamma-a,pharmacologic_substance
chlorpheniramine,pharmacologic_substance
guanidinium,pharmacologic_substance
prasterone,drug
ramelteon,drug
eszopiclone,pharmacologic_substance
pilsicainide,pharmacologic_substance
glibenclamide,drug
ethylparaben,drug
parthenolide,drug
humerus,anatomy
peg-asparaginase,drug
triploid,disease_or_syndrome
glycosphingolipids,pharmacologic_substance
bapta,pharmacologic_substance
tremelimumab,drug
acetosyringone,drug
dyskinesia,disease_or_syndrome
afatinib,pharmacologic_substance
bupropion,drug
snakebites,disease
vps34-in1,drug
antitussives,drug
philtrum,anatomy
oncocytoma,disease
flavonol,drug
antithymoglobulin,drug
harmane,drug
dovitinib,drug
3-chlorotyrosine,pharmacologic_substance
xanthan,drug
ch1418,pharmacologic_substance
p-cymene,pharmacologic_substance
dppd,drug
acetogenins,drug
melioidosis,disease_or_syndrome
azd9150,drug
s-allylcysteine,pharmacologic_substance
surfen,drug
alminoprofen,pharmacologic_substance
onartuzumab,drug
c76,pharmacologic_substance
choledocholithiasis,disease
hypericin,pharmacologic_substance
hongencaotone,drug
megace,drug
ki16425,pharmacologic_substance
nacystelyn,drug
nasonex,drug
leuprorelin,drug
die-huang-wan,pharmacologic_substance
cd1530,drug
cholecystolithiasis,disease_or_syndrome
dets,drug
ascofuranone,pharmacologic_substance
sx-284,drug
n-hydroxy-phip,pharmacologic_substance
erythropoietin,drug
ammonia,pharmacologic_substance
benazepril,pharmacologic_substance
betamethasone,drug
